name,price,rating,category,number of reviews,type,Distance from Downtown
"Gower Street Houses, Fitzrovia, London",US$424,6.9,Review score,106 reviews,Standard Single Room with Shared Bathroom,1.8 km from downtown
Martel Guest House,US$640,8.5,Very Good,908 reviews,Single Room,8.7 km from downtown
London Studios Very Close to Central Line Underground Shepherds Bush and Westfield Newly Refurbished,US$668,8.3,Very Good,"1,225 reviews",Small Single Room,6.9 km from downtown
Imperial York Street Apartments,"US$1,054",7.8,Good,217 reviews,Standard Studio,2.7 km from downtown
La Suite West - Hyde Park,"US$1,365",8.0,Very Good,"2,738 reviews",Petite Double Room,4.1 km from downtown
Maldron Hotel Shoreditch London,"US$1,514",8.5,Very Good,919 reviews,Deluxe Cozy Double,3.5 km from downtown
Brookview Guest House,US$424,8.7,Excellent,425 reviews,Queen Room with Garden View,9 km from downtown
Jubilee Hotel Victoria,US$973,8.1,Very Good,"2,324 reviews",Single Room with Shared Shower and Toilet,2.2 km from downtown
Park Plaza County Hall London,"US$1,462",8.6,Excellent,"11,949 reviews",Superior Double Room,1 km from downtown
Comfort Inn Edgware Road W2,US$773,7.5,Good,"2,268 reviews",Double Room,3.7 km from downtown
"Central London property-ensuite, double and budget room",US$447,6.4,Review score,179 reviews,Double Room,2.5 km from downtown
"Mornington Hotel London Kensington, BW Premier Collection",US$777,8.1,Very Good,"2,546 reviews",Single Room,4.9 km from downtown
Lovely Rooms in Camden Town-Central London,US$568,7.9,Good,146 reviews,Economy Double Room,3.4 km from downtown
Colebert Avenue,US$397,6.7,Review score,19 reviews,Double Room with Shared Bathroom,5.5 km from downtown
For Student Only Cosy Studios in the Central London,US$369,N/A,N/A,N/A,Standard Studio,6.5 km from downtown
Modern Studios Queenspark,US$354,5.8,Review score,141 reviews,Studio,5.8 km from downtown
Norfolk Towers Paddington,"US$1,105",7.9,Good,"9,600 reviews",Small Single Room,3.2 km from downtown
The Wellington Hotel,US$917,7.6,Good,"4,000 reviews",Single Room with Shower,1.2 km from downtown
Boutique Apartments,US$534,8.4,Very Good,429 reviews,Studio 1,2.9 km from downtown
Starlet Stepney,US$555,7.0,Good,95 reviews,Double Room with Private External Bathroom,6 km from downtown
Studios2Let - North Gower,US$676,7.3,Good,"2,702 reviews",Small Studio,2.3 km from downtown
John Dodgson House,US$548,7.2,Good,28 reviews,Single Room with Private Bathroom,2.3 km from downtown
Apex City Of London Hotel,"US$1,260",9.0,Wonderful,"3,386 reviews",City King or Twin Room,3.4 km from downtown
Arran House Hotel,US$606,6.8,Review score,"3,516 reviews",Single Room with Shared Bathroom,1.7 km from downtown
Central Hotel,US$729,7.9,Good,"4,921 reviews",Standard Single with shared Bathroom and toilet,2.4 km from downtown
Cosy Luxurious room in the heart of LONDON,US$427,6.6,Review score,29 reviews,Deluxe Room,5.1 km from downtown
Hyde Park Radnor Hotel B&B,US$756,7.6,Good,"3,042 reviews",Small Single Room,3.2 km from downtown
Rove Hotel London Paddington,US$914,7.4,Good,"3,337 reviews",Classic Single,3.3 km from downtown
Royal Cambridge Hotel,US$630,6.6,Review score,"1,230 reviews",Economy Single Room with Separate Private Bathroom,3.2 km from downtown
King Solomon Hotel- Golders Green,US$518,6.6,Review score,"2,510 reviews",Single Room,9.2 km from downtown
Ashburn Hotel,US$942,8.1,Very Good,"2,483 reviews",Queen Double Room,4.2 km from downtown
Holmewood Homestay,US$555,8.9,Excellent,176 reviews,Double Room,6.7 km from downtown
Crowne Plaza London Kings Cross by IHG,"US$1,310",8.1,Very Good,"5,380 reviews",Standard Double Room,2.3 km from downtown
DoubleTree By Hilton London Excel,"US$1,073",8.2,Very Good,"5,276 reviews",Queen Room with Sofa Bed,11.5 km from downtown
Globe Rooms,US$336,6.1,Review score,171 reviews,Double Room,5.8 km from downtown
"Private Bedrooms in Camden Town, Central London (10)",US$503,7.5,Good,207 reviews,Single Room,3.4 km from downtown
Holiday Inn Express London Victoria by IHG,"US$1,179",7.7,Good,"1,535 reviews",Standard Double Room with Free Hot Breakfast,2.1 km from downtown
Amber Residence Hotel-Suites,US$875,8.1,Very Good,673 reviews,Budget Single Room,2.4 km from downtown
King's College London - Stamford Street Apartments,US$682,7.6,Good,171 reviews,Small Double Room,1.1 km from downtown
"The Hoxton, Shepherds Bush","US$1,185",8.9,Excellent,"3,360 reviews",Cozy Room No Windows,6.7 km from downtown
KingswayPark Hotel at Park Avenue,US$760,7.2,Good,"1,852 reviews",Standard Single Room,3.2 km from downtown
ibis London Earls Court,US$719,8.2,Very Good,"6,152 reviews",Newly Refurbished - Standard Double Room,5.5 km from downtown
Hotel Sergul,US$947,8.3,Very Good,113 reviews,Single Room with Private Bathroom,6.6 km from downtown
Bedford Place Hostels,US$646,7.3,Good,"1,056 reviews",Double Room with Shared Bathroom,1.5 km from downtown
Novotel London Greenwich,US$856,7.8,Good,"4,270 reviews",Superior Double Room,8.6 km from downtown
London Backpackers Youth Hostel 18 - 35 Years Old Only,US$97,7.8,Good,"2,328 reviews",Bed in 15-Bed Female Only Dormitory Room,10.8 km from downtown
Ridgemount Hotel,US$783,8.6,Excellent,"3,008 reviews",Single Room with Shared Bathroom,1.6 km from downtown
City London Hotel,US$878,7.9,Good,"2,564 reviews",Single Room with Shared Bathroom,2 km from downtown
Woodford Hotel,US$470,7.6,Good,"1,110 reviews",Standard Single Room,14.1 km from downtown
Moxy London Excel,US$928,8.5,Very Good,"3,828 reviews","Moxy Sleeper, Guest room, 1 Queen",11.8 km from downtown
St Athans Hotel,US$593,7.7,Good,"2,318 reviews",Single Room with Shared Bathroom,2 km from downtown
The Mandeville Hotel,"US$1,354",8.3,Very Good,"4,394 reviews",Tiny Single Room,1.9 km from downtown
Signature Townhouse London Hyde Park,"US$1,254",6.8,Review score,"4,456 reviews",Superior Double Room,3.7 km from downtown
The Corner London City,US$911,8.3,Very Good,"8,259 reviews",Standard Double Room without Window,4.3 km from downtown
London Boutique Apartments,US$807,7.5,Good,78 reviews,Studio Apartment,4 km from downtown
TRIBE London Canary Wharf,US$894,8.6,Excellent,"4,549 reviews",TRIBE Essential Atrium,7.9 km from downtown
Double Room London,US$653,7.8,Good,294 reviews,Double Room with Private External Bathroom,6.7 km from downtown
Amazing New Bed Stay in New Cross Goldsmiths,US$354,6.2,Review score,5 reviews,Double Room,7 km from downtown
The Mornington Camden Female only Hostel,US$321,7.8,Good,917 reviews,Bunk Bed in Female Dormitory Room,3.1 km from downtown
Rhodes Hotel,US$966,7.4,Good,"3,010 reviews",Single Room,3.3 km from downtown
Zedwell Knightsbridge Hotel,"US$1,042",8.0,Very Good,136 reviews,Cocoon 2,2.4 km from downtown
"Lincoln Plaza Hotel London, Curio Collection By Hilton","US$1,038",8.5,Very Good,296 reviews,Queen Room,7.5 km from downtown
Holiday Inn Express Royal Docks by IHG,US$800,7.9,Good,"6,517 reviews",Standard Double Room with Sofa Bed and Free Hot Breakfast,9.6 km from downtown
ABC Hyde Park Hotel,US$686,7.2,Good,"1,851 reviews",Single Room,3.2 km from downtown
The Royale Chulan Hyde Park Hotel,US$824,7.7,Good,"3,899 reviews",Single Room,4.5 km from downtown
For Students Only Premium Studios and 2 Bed Apartments at Chapter Old Street in London,US$601,7.8,Good,181 reviews,Studio,3.5 km from downtown
Novotel London West,US$873,7.9,Good,"5,705 reviews",Superior Queen Room,6.6 km from downtown
Hyatt Regency London Stratford,"US$1,015",8.8,Excellent,"3,413 reviews",King Room,9.2 km from downtown
Riu Plaza London Victoria,"US$1,694",8.5,Very Good,"10,932 reviews",Deluxe - No Window,1.7 km from downtown
Tulse Hill Luxury Cosy Rooms,US$548,8.6,Excellent,623 reviews,Double Room with Shared Bathroom,7.8 km from downtown
Hampton By Hilton London City,"US$1,136",8.5,Very Good,"3,770 reviews",Queen Room,4.1 km from downtown
The LaLit London,"US$1,516",8.8,Excellent,"2,808 reviews",Cozy Classroom,3.4 km from downtown
Epsilon Hotel,US$470,7.7,Good,"4,186 reviews",Deluxe Single Room,10 km from downtown
Clayton Hotel City of London,"US$1,406",8.5,Very Good,"6,495 reviews",Deluxe Double Room,4 km from downtown
"Queensway Hotel, Sure Hotel Collection by Best Western",US$840,7.2,Good,"2,908 reviews",Cozy Single Room,3.2 km from downtown
Contemporary Studios at Chapter White City in London,US$367,7.0,Good,95 reviews,Studio,8.4 km from downtown
Westfield London Shepherds Bush,US$470,7.2,Good,169 reviews,Double Room,6.8 km from downtown
For Students Only Ultimate Comfort Ensuites at Old Kent Road in London,US$434,7.5,Good,25 reviews,Single Room,5.3 km from downtown
Regency Hotel Westend,US$973,7.1,Good,"1,029 reviews",Single Room,2.4 km from downtown
The Chapter Hotels - Hyde Park,"US$1,045",6.9,Review score,260 reviews,Budget Single Room,4.1 km from downtown
Church Street Hotel by Belvilla near The Oval London,US$585,7.7,Good,"1,732 reviews",Standard Single Room,4.5 km from downtown
Apex Temple Court Hotel,"US$1,304",9.0,Wonderful,"3,865 reviews",Standard Twin Room,1.5 km from downtown
Ellen Kensington,"US$1,097",8.1,Very Good,715 reviews,Single Room,4.7 km from downtown
DoubleTree by Hilton London – West End,"US$1,313",7.9,Good,"2,122 reviews",Single Room,1.5 km from downtown
Buxton Road Suites,US$350,8.2,Very Good,40 reviews,Superior Single Room,13 km from downtown
Park Plaza London Westminster Bridge,"US$1,554",8.4,Very Good,"24,978 reviews",Superior Double Room with Internal View,1 km from downtown
The Borough,US$764,7.3,Good,"1,006 reviews",Twin Room with Shared Bathroom,2.5 km from downtown
Best Western London Highbury,US$734,7.7,Good,"2,699 reviews",Single Room,7 km from downtown
easyHotel Victoria,US$661,7.1,Good,300 reviews,Economy Double Room without Window,2 km from downtown
Modern self-contained Ground and Basement studios,US$823,8.7,Excellent,35 reviews,Deluxe Studio,5.9 km from downtown
Hotel 63,US$976,8.0,Very Good,"1,504 reviews",Standard Single Room with Shower,3.4 km from downtown
Mercure London Bridge,"US$1,152",8.1,Very Good,"1,312 reviews",Standard Double Room,2 km from downtown
The Grand M London city,US$538,7.9,Good,881 reviews,Standard Double Room,4.1 km from downtown
63 John Aird Court,US$558,8.5,Very Good,42 reviews,Deluxe Queen Room,3.9 km from downtown
Arsenal Highbury & Islington Beautifully Presented,US$620,8.0,Very Good,247 reviews,Deluxe Double Room 1,6.1 km from downtown
Thistle London Park Lane,"US$1,046",7.6,Good,"1,587 reviews",Standard Single Room,2.3 km from downtown
Glendale Hyde Park Hotel,US$589,6.5,Review score,"1,479 reviews",Budget Single Room,3.7 km from downtown
The Waterman's Arms,"US$1,054",8.7,Excellent,989 reviews,Standard Double Room,8.6 km from downtown
London Marriott Hotel Kensington,"US$1,881",7.8,Good,683 reviews,Deluxe Queen Room,4.5 km from downtown
The W14 Kensington,US$870,8.0,Very Good,390 reviews,Petite Single Room with Private Bathroom,6 km from downtown
Fulham Studio Apartments,US$735,7.9,Good,197 reviews,Studio,5.9 km from downtown
DoubleTree by Hilton Hotel London - Tower of London,"US$1,328",8.0,Very Good,"7,139 reviews",Queen Room,3.4 km from downtown
Shoreditch Stay,US$336,5.2,Review score,23 reviews,Double Room with Extra Bed,4.5 km from downtown
The Cozy Lambeth,US$384,9.6,Exceptional,18 reviews,Double Room with Shared Bathroom,7.8 km from downtown
Saint James Backpackers,US$220,7.0,Good,"2,924 reviews",Bed in 8-Bed Female Dorm,5 km from downtown
Britannia International Hotel Canary Wharf,US$777,6.3,Review score,"21,590 reviews",Standard Double Room,7.2 km from downtown
Mama Shelter London - Shoreditch,US$883,8.4,Very Good,"2,874 reviews",Small Mama Single Room,5.3 km from downtown
Camden House - Next to Camden Market and Station - City Center,US$804,7.4,Good,323 reviews,Twin Room with Shared Bathroom,3.9 km from downtown
20 East Tenter Street,US$387,6.4,Review score,321 reviews,Double Room with Shared Bathroom,4 km from downtown
Residence Inn by Marriott London Tower Bridge,"US$1,187",8.2,Very Good,"1,892 reviews","Studio, 1 Double",3.3 km from downtown
Kensington Rooms - Philbeach Gardens,US$740,7.8,Good,"1,220 reviews",Single room - Lower Ground,5.3 km from downtown
Holiday Inn London - Whitechapel by IHG,"US$1,029",8.3,Very Good,"1,819 reviews",Standard Double Room,4.9 km from downtown
Mabledon Court Hotel,US$738,6.1,Review score,"3,679 reviews",Single Room,2.3 km from downtown
Morgan Hotel,US$915,7.5,Good,"2,273 reviews",Double Room,1.2 km from downtown
Portobello Rooms by DC London Rooms,US$363,7.2,Good,8 reviews,Double Room,5.1 km from downtown
Oliver Plaza Hotel,"US$1,045",8.3,Very Good,"3,765 reviews",Single Room,5 km from downtown
Best Western Swiss Cottage Hotel,US$899,8.2,Very Good,"2,619 reviews",Single Room,5.2 km from downtown
Sonder Chelsea Green,"US$1,138",7.8,Good,"2,609 reviews",Double Room,3.3 km from downtown
Sidney Hotel London-Victoria,US$699,8.1,Very Good,"12,469 reviews",Single Room,2 km from downtown
The Marylebone Hotel,"US$1,497",8.5,Very Good,"1,123 reviews",Cozy Room,1.9 km from downtown
Fountain Hotel,US$746,7.4,Good,"1,913 reviews",Double Room,9.3 km from downtown
Holiday Inn Express London - ExCel by IHG,US$978,8.3,Very Good,"5,451 reviews",Standard Room with Free Hot Breakfast,11.9 km from downtown
"The Megaro Hotel - Kings Cross St Pancras, London","US$1,402",8.5,Very Good,"2,618 reviews",Standard Double Room,2.5 km from downtown
Chelsea Guest House,US$692,8.1,Very Good,"3,970 reviews",Budget Single Room,4.1 km from downtown
"The Cumberland, London","US$1,425",8.1,Very Good,"9,361 reviews",Classic Single,2.3 km from downtown
Lancaster Hall Hotel,"US$1,182",8.2,Very Good,"2,567 reviews",Single Room,3.6 km from downtown
The Bloomsbury Hotel,"US$1,707",9.0,Wonderful,959 reviews,Small Double Room,1.1 km from downtown
ibis Styles London Southwark - near Borough Market,"US$1,126",8.6,Excellent,"4,251 reviews",Standard Queen Room,2.2 km from downtown
Zedwell Piccadilly Circus,"US$1,001",7.5,Good,"40,853 reviews",Cocoon 1,0.5 km from downtown
Keystone House,US$849,7.8,Good,"6,654 reviews",King Room,2.7 km from downtown
The Phoenix Hostel Paddington,US$150,6.1,Review score,"2,237 reviews",Bunk Bed in Mixed Dormitory Room,3.1 km from downtown
"Europa House Hotel, London Paddington",US$595,7.2,Good,945 reviews,Single Room,3.2 km from downtown
Dorsett Shepherds Bush London,"US$1,061",7.6,Good,"5,599 reviews",Dorsett Double Room,6.7 km from downtown
Mile end Double rooms 86a,US$523,7.2,Good,286 reviews,Double Room with Shared Bathroom,6.7 km from downtown
Trebovir Hotel,US$961,7.8,Good,"3,244 reviews",Single Room,4.9 km from downtown
Room with Kitchen in Central London,US$683,7.4,Good,68 reviews,Double Room,3.5 km from downtown
London Marriott Maida Vale,"US$1,354",8.4,Very Good,"2,770 reviews",Deluxe King Room,5.4 km from downtown
Morton Hotel,"US$1,423",8.8,Excellent,400 reviews,Deluxe Double Room,1.8 km from downtown
Marlin Waterloo,"US$1,340",8.4,Very Good,"11,255 reviews","Classic Room, 1 King Bed",1.4 km from downtown
"Montcalm Chilworth Townhouse, Paddington","US$1,756",7.8,Good,"8,653 reviews",Deluxe Single Room,3.6 km from downtown
Park Avenue J Hotel London Hyde Park,"US$1,284",7.8,Good,"2,014 reviews",Single Room,4 km from downtown
Copthorne Tara Hotel London Kensington,"US$1,084",7.2,Good,"9,973 reviews",Standard Double Room,4.5 km from downtown
205 Earls Court Rooms,US$559,6.8,Review score,"1,742 reviews",Small Double Room,4.8 km from downtown
Aloft London Excel,"US$1,521",8.5,Very Good,"5,126 reviews","Aloft Room, Guest room, 1 King",11.3 km from downtown
Camden Luxury Studio Flats and En-Suit Rooms,US$783,7.1,Good,92 reviews,Suite,3.8 km from downtown
Seven Dials Hotel,US$806,7.5,Good,"4,191 reviews",Single En Suite in Basement Room Only,0.8 km from downtown
Mercure London Paddington Hotel,"US$1,306",7.6,Good,"2,191 reviews",Standard Single Room,3.4 km from downtown
"Club Quarters Hotel Covent Garden Holborn, London","US$1,459",8.4,Very Good,"4,309 reviews",Small Queen Room,1.2 km from downtown
Whitechapel en-suite beds to stay,US$591,7.0,Good,375 reviews,Double Room with Private External Bathroom,5.5 km from downtown
Luxury Guest House in Vibrant London Area,US$797,8.8,Excellent,26 reviews,Deluxe Double Room,8.6 km from downtown
Bel Great,US$392,8.5,Very Good,19 reviews,Double Room,6.3 km from downtown
Chiswick Riviera with free parking,US$901,8.4,Very Good,430 reviews,Deluxe Double Room with Shower,10.5 km from downtown
Stepney Green beds to stay 24,US$431,7.1,Good,440 reviews,Double Room with Shared Bathroom,6 km from downtown
Peckham Rooms Hotel by Belvilla London,US$696,7.1,Good,"1,931 reviews",Standard Double Room with Private Bathroom,5.8 km from downtown
London E1 Stay,US$385,6.3,Review score,23 reviews,Double Room,5.8 km from downtown
Homefield Lodge,US$487,8.3,Very Good,"1,125 reviews",Single Room,10 km from downtown
Marlin Apartments Commercial Road - Limehouse,"US$1,252",8.6,Excellent,980 reviews,Studio Apartment,5.9 km from downtown
Residence Inn by Marriott London Bridge,"US$1,378",8.0,Very Good,978 reviews,One-Bedroom Suite,3.2 km from downtown
Thames View House Surrey Quays,US$674,7.6,Good,741 reviews,Deluxe Double Room,6.7 km from downtown
Princes Square,"US$1,069",8.4,Very Good,"1,303 reviews",Standard Single Room with Shower,4.4 km from downtown
